ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
6.93,8.48,6.5,0.18,3.26,3.83,341.77,151.4,47.79,30.14,0.17,0.2,1.22,28.55,18.31,75.94,2.0,1.15,20.31,56.43,0
-1.9,-10.0,-3.97,0.11,0.3,0.31,760.2,46.65,581.26,6.59,0.8,4.2,5.26,13.74,80.99,7.28,0.28,1.89,32.67,76.04,0
4.51,11.66,1.16,1.52,2.01,2.01,93.55,8.15,30.2,,0.61,1.59,2.59,57.45,61.35,28.25,1.96,26.02,13.61,65.14,0
2.25,7.84,2.82,0.12,0.54,0.97,457.31,44.46,222.57,97.7,0.6,2.08,3.49,17.88,71.37,18.07,0.68,0.88,19.64,129.13,0
0.83,1.14,0.46,0.39,2.44,3.01,202.29,81.2,41.6,23.62,0.27,0.38,1.38,33.86,27.47,24.75,2.09,0.0,12.97,71.21,0
-35.81,5164.49,-11.62,0.01,0.71,0.71,118.14,82.97,69.79,,1.01,-145.2,-144.2,-23.06,100.69,-22.71,-0.02,40.81,4.14,-184.85,0
-10.6,-576.42,-15.02,0.0,0.13,0.2,516.08,63.04,486.45,34.01,0.98,53.12,54.4,-7.49,98.16,1.21,0.02,0.0,4.41,31.9,0
0.16,0.24,0.14,0.62,1.26,1.56,303.07,58.87,91.43,27.25,0.32,0.46,1.46,5.14,31.59,41.01,1.34,0.0,4.15,23.85,0
0.93,25.05,0.63,0.02,0.24,0.71,246.39,40.88,144.78,86.72,0.96,25.9,26.9,15.58,96.28,8.27,0.51,31.03,9.92,57.13,0
,,,,,,,,,,,,,,,,,,,,0
6.85,13.72,4.13,0.43,0.96,2.32,219.29,49.54,93.2,128.43,0.5,1.0,2.0,76.45,50.07,13.85,,0.0,41.93,83.15,0
-7.21,-18.2,-2.75,0.05,0.72,0.79,138.64,54.03,81.17,5.56,0.6,1.52,2.52,47.35,60.36,-5.42,0.77,0.0,20.78,93.5,0
0.66,2.4,0.37,0.32,1.26,3.33,202.71,42.79,45.63,96.1,0.72,2.63,3.63,37.58,72.49,5.31,1.16,0.04,20.56,82.5,0
9.55,10.13,36.9,17.62,17.62,17.62,1406.37,,77.16,,0.06,0.06,1.06,9.55,5.68,168.24,,0.13,0.0,0.0,0
-73.61,16.6,-41.56,0.04,0.11,0.13,205.53,27.43,1103.59,23.34,5.43,-1.23,-0.23,-73.56,543.33,-12.42,-16.75,0.0,0.03,-0.09,0
-3.44,-154.82,-0.5,0.23,1.02,1.02,53.32,41.07,51.53,0.01,0.98,43.98,44.98,93.58,97.78,-3.52,,0.0,14.21,108.58,0
2.54,2.99,0.68,4.98,6.33,6.59,97.78,19.87,14.67,3.87,0.15,0.18,1.18,2.54,15.17,16.74,,0.0,0.0,0.0,0
2.37,11.19,1.07,0.04,0.87,1.18,165.1,79.23,95.86,29.71,0.79,3.73,4.73,30.09,78.86,4.17,1.35,0.0,12.57,80.95,0
0.52,42.32,0.13,-0.01,0.82,0.84,92.64,66.96,81.49,2.05,0.99,80.09,81.12,4.08,98.77,8.33,0.47,8.3,0.91,32.2,0
28.38,32.6,20.99,6.89,7.85,7.86,269.19,29.08,30.14,0.14,0.13,0.15,1.15,30.18,12.95,279.02,8.06,0.0,1.33,3.73,0
-0.6,-2.53,-3.03,0.12,0.35,0.82,1823.38,77.63,249.55,162.11,0.76,3.19,4.19,0.8,76.11,3.48,0.96,61.79,7.03,44.24,0
0.25,0.37,0.31,0.03,0.6,1.27,449.01,77.16,95.88,91.23,0.31,0.45,1.45,4.06,31.06,8.81,1.13,9.32,4.69,176.74,0
-11.14,35.49,-3.81,0.39,1.24,1.72,124.36,28.33,21.66,15.96,1.31,-4.19,-3.19,16.79,131.39,5.85,-0.59,9.41,6.97,61.33,0
-3.7,-9.29,-1.14,0.13,0.88,0.9,111.88,49.58,66.4,1.8,0.6,1.51,2.51,15.15,60.16,25.73,0.88,0.0,5.79,49.15,0
0.0,0.0,0.0,1.34,2.8,3.09,284.39,112.26,76.82,22.43,0.28,0.4,1.4,24.68,28.34,5.06,4.7,0.0,19.28,97.71,0
-4.61,-5.65,-5.18,3.99,4.56,5.35,408.91,34.04,37.07,47.78,0.18,0.22,1.22,45.97,18.36,-2.01,4.05,5.68,56.82,91.6,0
0.29,1.63,5.34,0.02,0.73,0.81,6680.11,2589.12,3617.68,268.48,0.55,3.07,5.61,3.66,82.18,21.49,0.32,0.0,61.91,60.52,0
5.71,20.04,3.22,0.39,0.68,0.91,205.45,41.87,98.29,33.14,0.72,2.51,3.51,30.27,71.53,25.21,0.83,23.1,13.87,65.42,0
15.84,19.54,16.16,11.47,12.35,12.35,371.34,26.05,29.71,,0.19,0.23,1.23,60.35,18.92,84.09,2012.17,0.0,45.41,66.76,0
7.96,93.66,2.06,0.14,1.11,1.11,94.3,78.7,80.97,,0.91,10.7,11.77,71.34,91.5,9.55,2.62,0.0,16.42,86.56,0
18.19,30.83,9.41,0.55,1.52,2.2,188.31,69.29,73.93,51.48,0.41,0.69,1.69,48.25,41.0,48.66,4.78,0.0,15.55,48.88,0
1.16,5.89,0.46,0.02,0.87,1.25,145.02,56.57,38.43,25.4,0.75,3.81,5.07,14.15,80.29,8.95,0.95,35.91,5.18,61.67,0
16.9,57.61,16.94,0.34,0.57,0.65,364.95,57.43,248.36,19.48,0.71,2.41,3.41,39.02,70.67,36.58,0.54,0.0,22.18,44.31,0
0.28,0.45,0.43,0.18,0.77,2.49,546.84,107.63,181.54,316.55,0.36,0.57,1.57,15.34,36.39,5.2,4.04,0.0,22.62,71.67,0
-24.19,-182.95,-15.61,0.09,0.33,1.11,234.94,31.82,131.64,104.19,0.87,6.56,7.56,-22.51,86.78,11.6,1.14,0.0,1.08,9.34,0
5.27,12.33,3.74,0.01,0.32,1.04,258.41,42.26,56.59,101.09,0.57,1.34,2.34,25.39,57.27,22.46,1.04,33.89,14.28,56.36,0
11.73,56.58,4.47,1.41,1.92,1.92,138.8,36.44,71.45,0.0,0.53,2.56,4.82,18.12,79.26,22.07,,0.0,2.43,28.91,0
26.53,69.35,21.0,0.13,0.69,1.0,288.2,88.52,146.4,51.66,0.62,1.61,2.61,45.53,61.75,57.12,0.99,9.47,15.05,29.92,0
0.32,0.34,13.71,18.27,18.27,18.27,15685.76,,849.19,,0.05,0.06,1.06,0.32,5.47,5.81,,0.0,0.0,0.0,0
8.99,73.51,2.72,0.07,0.32,1.28,110.08,12.02,72.6,70.9,0.88,7.18,8.18,45.75,87.77,15.69,1.78,0.0,11.12,76.26,0
2.69,10.55,1.94,0.89,1.03,1.34,262.14,24.19,166.81,51.16,0.75,2.92,3.92,2.85,74.5,4.4,2.55,10.16,0.12,-0.9,0
