ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
2.2,29.61,1.12,0.06,1.11,1.11,185.57,173.22,166.0,,0.93,12.44,13.44,85.02,92.56,2.38,,0.0,42.22,96.19,3.72,42.56,1.97,0.15,1.12,1.12,192.85,164.85,169.57,,0.91,10.43,11.43,87.74,91.25,4.08,,0.0,44.51,94.43,0
2.87,3.19,1.14,1.59,4.76,5.77,145.14,38.9,12.27,12.57,0.1,0.11,1.11,29.02,10.12,179.6,1.79,0.0,10.43,65.13,2.57,3.18,1.44,1.06,1.84,6.05,203.5,16.32,21.04,88.66,0.19,0.24,1.24,27.52,19.18,87.34,2.22,0.0,9.94,37.99,0
0.0,0.04,0.0,0.84,0.98,0.99,270.86,31.75,230.76,2.75,0.88,7.53,8.53,17.3,88.28,3.09,0.93,0.0,12.87,90.02,0.33,3.25,0.27,0.77,1.0,1.01,296.03,58.1,256.03,2.1,0.9,8.76,9.76,16.82,89.76,3.53,0.99,0.0,9.95,61.5,0
1.27,11.14,0.56,0.05,0.38,0.91,161.24,37.81,104.63,60.96,0.88,7.72,8.8,99.31,88.64,6.37,0.77,6.27,43.43,90.1,1.09,8.7,0.46,0.02,0.32,0.9,153.75,32.35,98.34,62.24,0.87,6.92,7.99,91.51,86.61,6.04,0.77,6.3,27.95,66.21,0
-5.28,104.5,-18.23,0.14,1.08,1.29,407.21,178.5,189.4,40.89,1.05,-20.79,-19.79,-0.94,105.05,-3.91,0.04,0.0,14.99,1022.24,-9.37,-64.08,-11.44,0.05,0.36,0.48,444.6,56.61,183.57,21.82,85.38,584.04,6.84,-1.27,85.38,-4.17,0.3,0.0,7.16,45.91,0
1.04,1.92,1.39,3.97,4.23,4.23,483.29,16.03,44.1,,0.46,0.84,1.84,1.04,45.68,3.96,1.93,3.77,0.0,0.0,9.81,15.65,7.92,5.04,5.3,5.3,293.96,9.49,35.71,,37.33,59.56,1.6,9.81,37.33,50.26,2.52,0.0,0.0,0.0,0
3.97,6.41,3.74,0.05,0.32,0.49,342.94,23.43,84.62,16.53,0.38,0.62,1.62,57.89,38.14,26.81,0.8,9.05,50.8,80.01,5.4,7.3,4.91,0.11,0.19,0.45,330.65,3.96,52.38,17.89,0.26,0.35,1.35,75.03,26.02,47.12,0.83,5.07,43.12,55.33,0
13.74,81.77,3.13,0.02,0.82,1.22,82.98,38.37,42.64,19.01,0.83,4.95,5.95,226.1,83.19,33.94,1.17,22.01,48.41,85.69,-40.62,132.8,-15.55,0.01,0.26,0.5,139.31,41.28,97.06,40.18,1.3,-4.26,-3.27,102.98,130.16,-20.57,-0.76,51.72,37.91,82.25,0
56.45,71.11,11.65,2.28,2.37,2.37,75.15,1.37,15.31,,0.21,0.26,1.26,56.45,20.62,326.53,1.55,0.0,0.0,0.0,14.89,15.39,5.0,11.38,19.06,19.06,122.16,30.1,3.92,,0.03,0.03,1.03,14.89,3.26,907.41,2.53,0.0,0.0,0.0,0
42.4,71.85,11.73,1.02,2.66,3.3,100.75,,28.9,18.69,0.41,0.69,1.69,178.95,40.99,113.85,16.12,0.0,37.8,69.64,-53.98,-141.9,-13.36,0.2,1.34,2.01,90.06,0.87,42.32,28.07,0.62,1.63,2.63,175.08,61.96,-83.61,9.76,0.0,41.08,90.69,0
