ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
15.11,77.25,4.54,0.03,1.05,1.21,109.5,88.77,87.09,14.6,0.8,4.11,5.11,21.05,80.44,19.48,8.69,0.0,1.79,22.57,7.57,28.02,2.8,0.41,0.82,1.15,134.45,39.98,97.04,32.62,0.73,2.7,3.7,32.75,72.98,16.53,1.71,0.0,9.3,65.95,0
1.27,1.45,1.09,32.08,55.56,55.56,312.94,110.44,4.7,,0.12,0.14,1.14,19.97,12.31,54.72,6.36,0.0,16.07,68.0,15.18,23.43,6.44,5.99,10.16,10.16,154.52,49.95,11.97,,0.35,0.54,1.54,57.95,35.23,83.8,4.4,0.0,18.16,54.52,0
7.48,56.42,7.58,0.04,0.85,0.91,368.71,255.66,222.56,19.56,0.87,6.54,7.54,39.32,86.74,8.86,0.62,25.25,32.25,76.18,0.38,1.67,0.3,0.24,0.57,0.93,291.39,72.76,220.66,79.02,0.77,3.44,4.44,54.1,77.49,0.93,0.78,0.0,43.01,91.2,0
-19.5,81.58,-12.05,0.59,0.65,0.7,224.99,17.76,274.82,13.4,1.24,-5.18,-4.18,44.93,123.9,-10.69,-1.98,0.0,39.83,118.95,-27.45,-30.82,-11.37,3.94,6.42,6.72,150.82,39.78,16.01,4.87,0.11,0.12,1.12,55.72,10.93,-123.98,3.55,0.0,34.46,111.71,0
7.2,9.26,9.35,1.19,4.69,4.75,472.91,251.72,72.0,4.71,0.2,0.26,1.29,27.59,20.63,70.52,3.04,,26.49,52.86,1.15,1.31,1.5,4.36,8.75,8.86,477.03,172.1,39.22,4.64,0.12,0.14,1.14,23.68,12.5,69.65,3.44,0.0,29.54,70.46,0
2.04,6.4,2.13,0.06,1.47,1.47,380.49,360.54,255.13,0.0,0.68,2.14,3.14,93.1,68.15,2.99,,0.0,95.19,97.01,2.48,8.7,2.64,0.08,1.41,1.41,387.01,360.0,271.1,,0.71,2.51,3.51,92.95,71.47,3.47,,0.0,96.18,96.28,0
11.56,35.65,4.66,0.1,1.09,1.09,146.79,95.79,70.66,0.05,0.68,2.08,3.08,52.63,67.58,39.37,1.19,17.67,16.56,54.79,10.91,33.59,4.71,0.01,1.14,1.14,157.2,116.16,64.43,0.22,0.68,2.08,3.08,54.13,67.52,22.33,1.35,24.33,18.66,65.47,0
0.93,1.36,0.74,0.26,2.55,2.94,288.6,85.06,46.68,18.69,0.31,0.45,1.45,31.68,31.23,26.76,2.5,12.65,24.38,70.05,-48.26,-162.51,-63.43,0.01,1.74,1.83,478.49,292.69,173.24,14.76,0.7,2.37,3.37,-14.99,70.31,-61.29,1.87,30.75,43.73,-596.22,0
4.05,18.3,0.92,0.69,0.87,1.35,82.36,6.63,36.43,18.02,0.71,3.22,4.52,15.78,77.89,16.63,1.88,0.0,2.65,46.74,3.85,61.5,1.09,0.29,0.36,0.66,102.8,5.74,83.08,25.3,0.94,15.07,15.99,15.98,93.75,15.06,0.24,-0.01,3.43,114.22,0
-157.08,-329.55,-151.74,0.74,0.74,0.74,351.62,,181.99,,0.52,1.1,2.1,-157.08,52.33,-300.16,0.78,0.0,0.0,0.0,0.03,34.79,0.38,0.01,0.01,0.01,4513.07,12.73,4459.53,,1.0,1129.25,1130.25,0.05,99.91,5.44,0.0,0.0,0.28,0.38,0
1.71,5.95,1.26,0.11,1.02,1.02,267.07,170.0,181.6,0.0,0.71,2.47,3.47,4.63,71.18,2.41,1.09,2.41,2.14,35.84,1.12,-39.67,0.69,0.14,0.73,0.79,224.7,127.62,217.73,14.11,1.03,-36.32,-35.32,6.3,102.83,9.59,0.09,0.0,3.2,25.05,0
50.72,90.09,28.45,0.45,1.63,2.77,204.2,58.04,48.96,56.45,0.26,0.46,1.78,69.69,43.71,228.73,1.84,0.0,10.64,20.73,36.7,47.82,24.4,0.61,3.31,3.47,242.0,138.78,51.78,8.36,0.23,0.3,1.3,55.35,23.26,182.39,3.14,0.0,12.4,24.64,0
12.28,64.5,105.91,0.1,0.61,0.61,3140.57,1056.31,2064.25,0.15,0.81,4.25,5.25,13.81,80.97,24.98,0.57,0.0,13.28,-5.89,0.11,1.13,1.82,0.01,0.1,0.1,6190.52,470.85,5489.63,,0.9,9.51,10.6,0.86,90.57,3.2,0.1,0.0,12.83,32.41,0
