ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
3.8,6.34,2.63,0.53,2.54,2.56,252.23,177.37,88.15,2.1,0.4,0.67,1.67,31.07,40.04,16.84,7.14,0.0,18.84,74.75,0
1.23,4.92,0.94,0.49,1.2,1.22,278.11,120.61,199.93,5.33,0.75,3.0,4.0,15.8,75.0,3.26,2.55,0.0,11.1,76.87,0
7.94,17.45,2.97,1.38,1.83,1.83,136.44,33.34,73.34,,0.55,1.2,2.2,9.49,54.5,14.57,,0.0,0.58,10.8,0
9.04,61.17,4.63,0.01,1.6,1.6,186.77,169.74,97.94,,0.85,5.76,6.76,21.52,85.21,14.1,6.06,7.34,6.38,49.08,0
40.45,53.27,21.22,0.39,1.86,1.86,191.49,65.08,44.46,0.0,0.24,0.32,1.32,51.45,24.07,188.75,1.86,0.0,5.77,16.66,0
0.81,1.68,0.58,0.76,1.94,1.94,261.44,156.11,132.17,,0.52,1.07,2.07,26.99,51.77,3.34,78.83,0.0,18.75,89.33,0
-69.07,-193.34,-36.69,0.86,1.11,1.11,193.92,20.13,104.18,,0.64,1.8,2.8,33.87,64.28,-44.76,1.03,0.0,54.69,125.84,0
-8.98,-26.55,,1.4,1.51,1.51,,,,,0.66,1.95,2.95,-8.98,66.16,-13.58,,0.0,,0.0,0
34.62,58.51,14.46,0.86,2.19,2.19,152.46,74.35,46.22,,0.41,0.69,1.69,35.09,40.83,111.71,3.41,6.2,0.2,0.87,0
1.86,2.06,1.28,1.5,10.18,10.18,251.55,211.68,24.36,,0.1,0.11,1.11,131.61,9.82,18.97,,0.0,89.42,95.12,0
4.46,44.43,1.23,0.07,0.9,0.9,100.56,65.74,78.59,0.0,0.9,8.97,9.97,71.33,89.97,17.05,0.65,0.0,18.42,75.92,0
2.76,3.56,0.89,1.28,4.88,4.88,117.86,85.76,23.82,0.0,0.23,0.29,1.29,30.65,22.66,12.16,,0.0,9.01,80.3,0
2.37,5.06,0.7,-0.48,1.6,1.6,107.07,115.97,55.74,,0.53,1.14,2.14,52.8,53.18,18.59,3.14,0.0,14.79,66.37,0
-20.51,-104.88,-6.45,0.02,0.49,0.97,114.83,41.4,89.35,44.04,0.8,4.11,5.11,-12.64,80.44,-17.9,0.91,0.0,2.48,-156.5,0
4.31,56.53,2.36,0.4,1.06,1.07,199.72,55.12,179.78,1.08,0.92,12.12,13.12,19.97,92.38,6.03,3.43,0.0,8.57,46.43,0
7.4,11.71,18.72,2.13,3.14,3.14,923.99,148.5,146.9,,0.37,0.58,1.58,7.4,36.85,50.54,1.72,0.0,0.0,0.0,0
-0.59,-0.59,,,,,,,,,,,1.0,-0.59,0.0,,,0.0,,,0
2.27,4.79,0.98,0.22,1.82,1.82,156.99,110.79,61.35,0.3,0.52,1.1,2.1,80.68,52.47,8.99,3.87,7.97,33.72,92.26,0
-7.84,175.15,-4.59,0.08,0.58,0.83,213.49,102.1,205.59,52.36,1.04,-23.33,-22.33,34.54,104.48,-2.82,-0.03,0.0,24.79,102.99,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
-14.85,-14.94,-7.67,,,,188.47,,,,0.01,0.01,1.01,-14.85,0.6,-2472.73,,0.0,0.0,0.0,0
-10.43,-69.64,-31.46,0.07,0.36,0.36,1100.59,269.76,921.53,,0.85,5.68,6.68,-10.43,85.02,9.54,0.22,0.0,0.0,0.0,0
3.55,15.44,8.23,0.0,0.52,0.62,845.42,228.81,322.78,44.95,0.77,3.34,4.35,14.67,76.99,7.57,0.7,37.52,25.76,73.08,0
0.33,3.92,0.2,0.02,0.66,0.84,223.4,149.59,234.38,43.37,0.91,10.9,11.92,47.25,91.61,1.78,0.85,0.0,28.72,94.06,0
1.67,-208.6,0.94,0.23,0.65,0.65,205.63,79.99,182.85,,1.01,-126.16,-125.16,5.26,100.8,8.71,-0.02,2.36,2.02,20.95,0
1.05,5.67,0.74,0.07,1.13,1.15,257.7,191.24,179.27,2.56,0.81,4.38,5.38,20.38,81.42,5.51,1.54,5.2,13.65,75.03,0
-1.97,-2.82,-1.1,1.46,3.12,3.15,204.3,77.7,46.87,1.54,0.3,0.43,1.43,36.03,30.27,57.16,2.99,0.0,21.27,64.22,0
0.72,5.92,0.29,0.02,1.03,1.03,149.33,103.39,102.49,,0.88,7.26,8.26,0.72,87.89,5.89,1.1,0.0,0.0,0.0,0
0.51,5.81,0.83,0.01,0.32,0.93,598.27,148.71,423.78,290.15,0.91,10.49,11.49,20.37,91.3,6.08,0.71,16.97,32.57,72.58,0
3.94,66.82,4.31,1.27,2.28,2.34,398.72,29.55,98.61,6.64,0.93,15.7,16.94,11.02,94.1,4.61,1.14,40.53,7.73,52.91,0
2.46,4.73,1.1,1.08,2.0,2.29,163.91,53.63,58.62,17.19,0.48,0.92,1.92,34.82,48.01,21.27,3.76,5.79,14.53,67.3,0
-14.17,-22.82,-8.34,0.43,1.58,1.61,214.78,87.64,65.77,2.67,0.38,0.61,1.61,39.35,37.93,-10.53,1.55,4.83,31.49,101.45,0
6.13,7.47,28.4,55.55,134.63,134.63,1691.88,980.18,12.39,,0.18,0.22,1.22,6.13,17.96,34.11,,0.0,0.0,0.0,0
54.16,89.33,28.6,0.38,1.46,1.46,192.72,49.35,66.89,0.05,0.39,0.64,1.65,96.3,39.37,155.7,1.29,0.0,22.25,40.08,0
7.59,10.9,1.96,0.52,2.98,2.98,94.07,56.24,22.86,,0.3,0.44,1.44,91.44,30.33,44.07,2.8,0.0,21.61,84.13,0
