ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
2.0,13.64,1.82,0.03,0.42,0.72,330.36,90.18,226.11,67.76,0.72,4.91,6.81,32.06,85.31,19.35,0.32,0.0,27.28,76.29,-0.13,-0.68,-0.09,0.09,0.42,0.54,241.94,50.36,149.33,16.87,0.67,3.38,5.06,42.49,66.82,22.92,0.34,0.0,20.15,54.67,0
0.09,0.18,0.77,0.18,0.44,0.71,3231.72,264.42,948.35,295.47,0.4,0.8,2.01,7.66,50.34,26.83,0.72,5.07,67.21,-792.94,1.6,3.01,13.94,0.23,0.57,0.85,3166.55,301.2,822.16,260.87,0.36,0.68,1.88,7.46,36.07,30.39,0.8,3.77,36.02,-76.42,0
-6.65,-997.64,-10.71,0.18,0.23,0.3,586.13,27.7,470.24,32.49,0.99,149.01,150.01,-2.17,99.33,25.72,0.16,6.68,7.22,21.66,1.04,62.65,1.33,0.19,0.29,0.35,465.36,41.31,442.17,25.94,98.34,5934.94,60.35,5.73,98.34,36.81,0.07,0.0,4.09,9.06,0
0.6,7.75,,1.49,1.83,1.83,,,,,0.92,11.88,12.88,0.6,92.23,4.63,2.21,0.0,,0.0,-10.25,388.97,-952.08,1.3,1.55,1.55,33823.91,4225.34,17155.74,,1.03,-38.96,-37.96,-10.25,102.63,-3.94,2.37,0.0,0.0,0.0,0
-8.37,-13.5,-19.84,0.16,0.29,2.11,863.17,31.47,246.09,454.48,0.37,0.6,1.61,14.16,38.05,-8.89,1.79,0.0,53.41,331.0,-52.04,-302.41,-76.23,0.62,0.75,1.22,533.2,32.21,242.5,114.25,0.82,4.76,5.81,-17.06,81.94,-41.63,1.15,24.09,32.14,-193.71,0
1.4,1.64,2.48,3.08,4.27,9.7,642.22,32.91,27.7,152.53,0.11,0.13,1.17,20.94,14.4,90.38,1.59,0.0,34.47,101.95,0.1,0.13,0.22,1.82,2.96,8.3,762.87,45.83,40.03,213.94,0.14,0.16,1.2,19.76,13.69,61.33,1.64,0.0,29.85,78.65,0
1.2,6.17,4.5,0.01,0.13,0.22,1360.7,89.92,728.63,64.35,0.81,4.13,5.13,2.91,80.51,10.64,0.36,0.0,6.37,-7.11,1.97,8.43,10.3,0.04,0.04,0.23,1904.45,,1169.34,221.69,76.65,328.31,4.28,3.81,76.65,42.74,0.44,0.0,7.14,-2.28,0
-2.62,-2.95,-46.75,0.1,4.68,12.22,6494.98,444.88,56.69,743.32,0.09,0.1,1.12,5.56,11.09,36.26,1.18,0.63,145.93,-82.89,1.3,1.39,29.44,0.35,1.44,4.22,8264.99,527.57,245.11,1345.56,0.07,0.07,1.07,10.87,6.98,103.14,1.25,2.93,217.39,-185.98,0
13.17,14.6,24.97,15.85,15.85,15.85,690.27,,43.08,,0.07,0.07,1.11,23.86,9.81,195.22,,0.0,20.28,37.91,8.4,9.14,19.46,12.42,12.47,12.47,843.53,2.84,66.92,,0.08,0.09,1.09,28.08,8.14,103.2,,0.0,45.61,63.83,0
-5.39,-9.99,-100.77,0.24,0.79,1.17,6810.32,1649.93,3007.38,1167.57,0.46,0.85,1.85,5.86,46.07,21.11,1.15,0.0,210.33,-91.86,-3.24,-6.37,-44.6,0.18,0.67,1.13,5010.85,1196.69,2421.86,1091.44,0.49,0.97,1.97,8.47,49.13,24.32,1.13,0.0,161.24,-82.41,0
