ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
7.1,40.8,4.25,0.17,0.64,0.81,218.06,71.24,148.67,25.36,0.83,4.75,5.75,14.26,82.6,9.72,0.41,0.0,4.29,44.24,4.27,80.56,2.56,0.15,0.49,0.62,218.85,59.22,175.73,23.07,0.95,17.87,18.88,11.47,94.7,7.47,0.11,0.0,4.32,49.59,0
-5.99,-73.8,-2.67,0.07,0.34,1.09,162.39,34.39,137.52,104.31,0.92,11.33,12.33,6.84,91.89,-3.85,2.29,0.0,5.72,73.9,2.29,22.18,1.08,0.06,0.39,1.12,172.84,44.61,146.26,108.35,0.9,8.69,9.69,15.7,89.68,5.25,3.85,0.0,6.35,58.92,0
14.73,41.11,4.43,0.17,1.2,1.55,109.57,71.47,69.39,24.92,0.64,1.79,2.79,21.16,64.18,26.55,,0.0,1.94,28.96,14.47,32.71,4.55,0.4,1.27,1.64,114.86,54.75,63.03,23.41,0.56,1.26,2.26,19.6,55.77,26.94,5.33,0.0,1.61,28.72,0
4.4,32.26,1.07,-0.18,0.18,0.48,88.46,19.61,53.12,16.15,0.82,6.0,7.33,61.37,86.36,32.1,0.2,0.0,13.84,62.88,8.43,30.91,1.6,-0.61,-0.24,-0.01,69.06,17.6,46.76,10.83,0.71,2.62,3.66,106.71,72.71,38.85,0.3,0.0,18.59,70.45,0
-48.93,-51.48,-16.69,4.05,9.72,10.25,124.18,15.62,4.36,2.34,0.05,0.05,1.05,-26.75,4.96,-317.53,1.52,0.0,7.57,312.68,-98.49,-142.15,-113.9,0.29,1.55,1.71,422.13,142.56,112.61,18.38,0.31,0.44,1.44,-67.85,30.72,-129.95,1.34,0.0,35.43,-365.47,0
1.46,3.94,0.25,0.8,0.8,1.61,56.86,,37.67,30.97,0.63,1.69,2.69,34.69,62.86,2.33,,0.0,5.61,94.73,10.05,23.5,1.71,1.19,1.2,1.77,61.92,0.46,34.46,19.95,0.57,1.34,2.34,48.5,57.22,17.57,,0.0,6.52,71.81,0
0.37,0.96,0.11,0.06,0.34,0.88,112.04,14.74,43.17,28.01,0.61,1.58,2.58,44.1,61.23,10.4,0.75,11.94,13.46,82.69,0.23,0.58,0.07,0.06,0.27,0.76,108.09,10.69,44.52,25.36,0.6,1.53,2.53,46.02,60.44,10.61,0.7,9.38,13.56,81.59,0
0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
-1.99,-54.8,-0.95,0.55,0.77,0.77,75.01,34.11,135.97,,0.96,26.49,27.49,-1.99,96.36,4.55,0.14,16.81,0.0,0.0,16.87,67.35,0.99,1.33,1.33,1.33,21.38,0.09,14.23,0.0,0.75,2.99,3.99,16.87,74.95,35.39,,7.48,0.0,0.0,0
0.55,5.45,0.31,0.35,0.63,1.11,202.94,45.57,178.21,86.43,0.9,8.83,9.83,31.54,89.83,0.62,,0.0,17.27,102.37,-16.89,358.98,-8.76,0.28,0.48,0.95,189.27,34.17,193.08,91.56,1.05,-22.25,-21.25,23.07,104.71,-16.13,,0.0,20.72,146.94,0
-0.69,-0.69,,,,,,,,,,,1.0,-0.69,0.0,,,0.0,,,18.46,18.6,32.38,108.7,130.32,130.32,640.33,55.38,4.85,,0.01,0.01,1.01,18.46,0.77,2405.36,,0.0,0.0,0.0,0
-0.69,-3.58,-0.88,0.06,0.63,1.89,466.79,123.66,136.22,281.92,0.81,4.21,5.21,7.27,80.8,2.86,5.77,18.25,10.21,61.43,-3.01,-14.08,-4.11,0.11,0.28,1.7,498.88,42.93,131.25,349.12,0.79,3.68,4.68,6.55,78.62,-0.04,5.97,22.63,13.06,69.07,0
63.24,86.84,55.75,2.94,3.69,3.69,209.81,64.78,86.05,0.0,0.27,0.37,1.37,76.79,27.17,232.78,,0.0,11.95,14.72,79.23,90.74,57.26,6.72,7.95,7.95,263.76,40.22,32.68,,0.13,0.15,1.15,98.4,12.68,624.97,,0.0,13.85,16.34,0
0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,-0.01,-0.01,,600.17,600.17,600.17,,,,,0.0,0.0,1.0,-0.01,0.01,-83.0,1.04,0.0,,,0
-4.13,-4.9,-30.1,4.72,5.78,5.78,2649.92,432.0,408.6,,0.16,0.18,1.18,-4.13,15.59,-26.52,8.53,0.0,0.0,0.0,-24.86,192.71,-23.67,0.21,0.27,0.46,347.52,26.29,386.9,72.84,1.13,-8.75,-7.75,-20.34,112.9,-20.56,-0.27,0.0,4.3,-25.57,0
21.15,76.45,5.41,0.33,0.94,1.37,93.05,40.87,66.54,28.56,0.72,2.62,3.62,41.07,72.34,29.23,,0.0,5.09,45.01,11.62,43.27,2.43,0.1,0.84,1.3,76.45,40.42,55.09,26.02,0.73,2.72,3.72,54.64,73.14,15.89,,0.0,9.01,93.08,0
18.22,96.9,9.74,0.08,0.46,0.52,194.62,58.29,155.37,9.85,0.81,4.32,5.32,28.96,81.2,23.97,0.33,0.0,5.74,39.11,1.47,85.25,1.24,0.03,0.16,0.2,308.14,38.89,297.45,12.16,0.98,56.85,57.85,6.75,98.27,2.73,0.02,0.0,4.45,36.97,0
3.1,6.38,0.16,0.13,1.26,1.79,18.32,10.74,9.45,5.02,0.51,1.06,2.06,51.45,51.43,6.02,5.95,0.0,2.47,88.47,5.18,12.09,0.17,0.21,1.18,1.75,11.86,6.47,6.69,3.89,0.57,1.33,2.33,144.97,57.16,9.06,,0.0,4.54,93.11,0
-31.3,204.21,-36.97,1.13,1.8,1.8,429.9,79.64,119.41,0.0,1.15,-7.52,-6.52,-31.3,115.33,-12.92,-0.31,0.0,0.0,0.0,-96.43,76.79,-26.36,0.23,0.34,0.34,99.79,13.32,123.01,,2.26,-1.8,-0.8,-94.57,225.57,-30.94,-2.36,0.0,0.51,-2.9,0
16.61,23.43,9.02,0.87,1.77,3.14,197.58,50.66,55.75,77.37,0.29,0.41,1.41,26.71,29.12,69.14,6.9,0.0,5.48,29.29,17.82,19.28,9.41,2.38,6.8,13.61,192.71,56.17,12.76,88.01,0.08,0.08,1.08,28.73,7.55,269.68,11.16,0.0,5.76,30.27,0
4.46,55.17,4.27,0.25,0.55,0.55,348.85,32.01,316.13,,0.92,11.38,12.38,4.46,91.92,22.53,0.17,0.0,0.0,0.0,-4.16,-37.13,-3.73,0.38,0.49,0.49,327.52,16.51,245.06,0.0,0.89,7.92,8.92,-2.9,88.79,44.58,0.4,0.0,1.13,2.91,0
-58.83,-136.24,-19.7,0.02,0.02,0.38,121.92,,68.51,25.66,0.57,1.32,2.32,39.02,56.82,-37.53,0.55,0.0,32.77,-62.74,-77.59,-178.12,-20.08,0.23,0.23,1.03,94.44,0.0,52.57,42.75,0.56,1.3,2.3,29.66,56.44,-68.75,1.04,0.0,27.75,-112.03,0
3.19,70.93,1.09,0.06,0.83,1.05,124.33,89.88,116.34,25.89,0.96,21.25,22.25,16.9,95.51,3.71,9.78,0.0,4.68,74.61,0.47,22.58,0.13,0.01,0.85,1.04,98.97,77.7,93.51,18.41,0.98,47.09,48.09,20.41,97.92,0.74,7.13,0.0,5.41,94.05,0
100.0,100.0,4.5,,,,7.12,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,,,0.0,0.0,0.0,16.71,91.23,9.82,0.07,0.42,0.42,214.53,60.49,171.96,,0.82,4.46,5.46,21.58,81.69,25.22,0.28,0.0,2.86,15.09,0
23.95,27.9,4.16,5.51,14.86,14.86,63.2,37.13,3.97,,0.14,0.16,1.16,24.67,14.15,192.35,15.81,0.0,0.12,1.95,30.27,60.45,8.25,0.75,1.67,1.67,99.43,44.67,48.85,,0.5,1.0,2.0,30.77,49.93,66.49,3.02,0.0,0.14,1.11,0
19.62,77.13,8.09,0.62,1.03,1.03,150.02,46.4,110.62,,0.75,2.93,3.93,19.62,74.56,61.28,1.19,0.0,0.0,0.0,14.29,34.53,5.12,0.93,1.48,1.48,130.8,39.57,71.45,,0.55,1.34,2.42,14.29,58.61,50.03,2.33,0.0,0.0,0.0,0
35.57,37.26,17.88,0.97,22.01,22.01,183.0,173.02,8.22,,0.05,0.05,1.05,35.57,4.54,782.85,,0.0,0.0,0.0,22.19,24.09,18.4,1.93,12.68,12.68,302.67,253.1,23.55,,0.08,0.09,1.09,22.19,7.89,281.26,,0.0,0.0,0.0,0
1.86,6.62,3.1,0.2,0.26,1.38,543.31,25.43,431.59,490.1,0.72,2.56,3.56,4.3,71.95,2.58,,0.0,4.06,50.09,-0.33,-1.52,-0.32,0.47,0.61,1.26,358.08,38.84,277.17,182.81,0.78,3.65,4.65,2.46,78.48,-0.42,,0.0,2.73,95.46,0
-162.84,262.29,-99.62,0.11,0.23,0.23,222.68,32.21,267.1,0.0,1.62,-2.61,-1.61,-20.09,162.08,-90.12,-0.87,0.0,87.33,56850.0,7.91,-25.67,2.99,0.37,0.5,0.5,138.22,23.1,178.32,,1.31,-4.25,-3.25,138.12,130.8,14.03,-0.9,0.0,49.31,86.06,0
11.03,11.39,5.95,35.44,35.44,35.44,196.45,0.0,5.48,0.0,0.03,0.03,1.03,91.44,3.24,340.48,,0.0,43.4,83.25,17.44,29.56,14.46,,,,302.64,7.42,,,0.41,0.69,1.69,102.66,40.99,42.54,,40.63,70.66,81.98,0
-2.25,-2.28,-7.81,52.26,122.1,122.1,1264.86,701.75,10.05,0.0,0.01,0.01,1.01,17.14,1.37,-25.26,52.14,0.0,67.38,100.44,-37.85,-38.16,,-1037.88,-2553.75,-2553.75,,,,,0.01,0.01,1.01,-14.73,0.81,-4205.85,,0.0,,-197.24,0
22.33,34.33,23.18,2.75,2.86,2.86,377.81,14.35,130.61,,0.35,0.54,1.54,41.55,34.95,63.89,,0.0,19.95,40.81,30.84,36.84,34.75,5.9,6.09,6.09,411.23,12.66,66.57,,0.16,0.19,1.19,47.46,16.3,189.22,,0.0,18.72,30.27,0
-1.3,-205.59,-0.24,0.37,0.47,1.04,66.0,5.69,62.31,36.24,0.99,157.3,158.3,84.56,99.37,-1.31,,0.0,15.57,105.28,-42.79,102.23,-8.07,0.11,0.15,0.73,68.87,3.4,91.94,54.53,1.42,-3.39,-2.39,47.1,141.86,-30.17,,0.0,16.96,187.4,0
7.51,8.9,2.45,1.26,18.42,28.89,118.86,62.17,3.62,38.47,0.16,0.19,1.19,34.98,15.68,79.16,9.3,0.0,8.97,63.74,11.36,12.76,4.13,3.48,6.51,9.65,132.68,38.83,12.8,40.74,0.11,0.12,1.12,37.2,10.9,146.31,17.67,0.0,9.39,56.16,0
-0.36,2.47,-0.23,0.01,0.04,0.87,236.96,6.3,258.59,225.96,1.15,-7.86,-6.86,11.72,114.57,-0.31,,4.23,7.87,66.13,5.74,-171.25,4.84,0.07,0.1,0.8,307.62,11.89,313.58,219.51,1.03,-30.82,-29.82,13.49,103.35,8.42,-0.19,0.0,6.53,45.96,0
28.97,95.4,45.85,0.04,0.96,1.43,576.12,363.68,396.61,189.89,0.7,2.29,3.29,35.71,69.63,41.61,,0.0,10.67,145.25,15.02,17.0,10.26,1.44,2.83,8.87,249.28,38.18,27.41,167.86,0.12,0.13,1.13,26.94,11.65,128.86,,0.0,8.15,-23.72,0
-8.65,-9.7,,9.29,9.29,9.29,,,,,0.11,0.12,1.12,-8.65,10.77,-80.36,,0.0,,0.0,-19.85,-76.39,-23.26,1.15,1.35,1.35,427.66,,312.2,,0.74,2.85,3.85,-19.85,74.01,-26.82,,0.0,0.0,0.0,0
