ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-2.89,-3.3,-8.31,5.05,7.1,19.77,1047.21,41.17,20.06,257.6,0.07,0.08,1.14,8.99,12.58,71.14,1.5,0.0,34.17,121.7,0
0.53,2.07,1.05,0.0,0.14,0.87,721.16,45.41,166.01,259.87,0.63,2.45,3.91,4.95,74.43,20.52,0.53,25.42,8.75,-193.8,0
-3.45,-10.94,-13.64,0.05,0.21,0.48,1439.47,68.26,427.63,115.71,0.42,1.33,3.17,14.18,68.46,20.21,0.5,8.3,69.72,352.34,0
0.48,1.25,1.16,0.0,0.28,1.12,878.95,74.2,188.84,229.99,0.43,1.13,2.6,16.83,61.57,23.38,0.77,9.3,39.48,109.86,0
3.79,3.82,6.03,90.51,114.54,114.54,579.55,,5.0,,0.01,0.01,1.01,3.79,0.87,433.85,,0.0,0.0,0.0,0
15.97,32.56,7.2,1.19,1.57,1.81,164.14,31.39,56.42,19.64,0.51,1.04,2.04,15.97,50.94,38.54,6.19,16.19,0.0,0.0,0
-4.7,-9.12,-11.13,0.01,1.51,3.3,860.77,274.22,83.5,373.35,0.48,0.94,1.94,1.81,48.39,-4.05,3.77,14.4,15.42,-167.37,0
-3.67,-7.32,-9.63,0.18,0.4,1.08,956.15,67.92,237.05,207.67,0.43,0.86,2.0,9.59,42.91,13.11,0.94,7.55,25.18,121.89,0
5.25,56.76,3.35,0.13,0.17,1.01,232.09,8.03,208.32,178.65,0.91,9.82,10.82,6.36,90.76,8.58,1.32,0.0,0.71,-3.64,0
1.9,3.28,27.16,0.7,0.84,1.09,5190.94,244.36,867.63,419.12,0.41,0.71,1.72,8.5,41.92,24.66,1.12,16.22,94.01,-68.51,0
-26.51,-264.55,-32.34,0.02,0.09,0.72,444.11,21.3,157.4,202.13,0.9,8.97,9.98,22.39,89.98,-14.67,0.42,43.72,59.66,-307.11,0
-5.25,-13.23,-18.71,0.06,0.17,0.17,1296.19,71.49,668.73,,0.59,1.49,2.52,2.26,60.31,9.5,0.51,6.65,26.77,60.64,0
-6.07,-1882.21,-18.28,0.14,0.16,0.4,1096.83,15.71,954.34,232.83,1.0,309.32,310.32,1.94,99.68,28.25,0.2,0.0,24.13,90.54,0
-14.27,-18.38,-56.13,0.28,0.61,2.06,1431.41,47.65,112.1,214.58,0.16,0.21,1.29,0.23,22.33,-38.35,1.04,2.36,57.03,485.22,0
5.11,5.84,6.81,18.74,22.2,32.75,484.72,21.9,6.32,67.66,0.13,0.14,1.14,14.94,12.52,196.71,1.75,5.6,13.09,45.66,0
3.35,4.25,16.1,2.38,3.31,3.93,1748.88,221.36,237.97,150.54,0.15,0.19,1.27,20.22,21.17,127.44,1.75,0.0,81.07,1416.41,0
-18.04,110.14,-31.47,0.32,0.35,0.35,635.12,20.82,729.55,,1.16,-7.11,-6.11,-5.63,116.38,-0.31,-0.27,0.0,21.65,101.18,0
2.22,2.67,14.78,8.05,8.19,8.33,2429.07,25.65,189.89,28.3,0.09,0.11,1.2,26.06,17.0,95.05,2.46,0.0,159.1,286.53,0
-0.22,-0.3,-0.98,0.18,0.96,2.55,1609.6,223.9,132.61,460.23,0.19,0.27,1.38,22.25,27.5,53.9,1.35,9.68,99.36,-944.53,0
-5.18,-6.31,-15.41,2.72,3.27,6.72,1081.82,33.5,61.42,215.14,0.09,0.11,1.22,13.56,17.79,102.71,1.38,0.0,55.7,157.39,0
10.0,19.46,30.81,0.38,1.53,1.85,1121.46,173.7,524.82,172.57,0.49,0.94,1.95,13.06,48.62,23.58,4.24,0.0,9.44,39.77,0
10.0,19.46,30.81,0.38,1.53,1.85,1121.46,173.7,524.82,172.57,0.49,0.94,1.95,13.06,48.62,23.58,4.24,0.0,9.44,39.77,0
6.33,6.72,28.31,14.32,17.19,17.19,1627.08,269.17,93.6,0.0,0.06,0.06,1.06,6.33,5.82,108.88,,0.0,0.0,0.0,0
18.25,44.85,42.44,0.0,0.12,1.2,846.37,37.27,298.22,371.71,0.59,1.46,2.46,20.68,59.3,40.0,1.16,5.18,5.65,179.13,0
2.63,3.76,4.0,0.09,0.51,1.82,554.61,44.92,105.07,143.0,0.29,0.42,1.43,23.04,30.22,41.49,1.22,3.27,31.11,85.51,0
-4.35,-8.73,-17.09,1.21,2.16,9.23,1429.12,40.3,42.39,303.78,0.4,0.8,2.01,14.2,50.15,12.42,1.19,0.0,72.84,445.85,0
1.29,1.43,6.26,2.95,4.86,6.1,1764.74,280.81,146.37,182.68,0.1,0.11,1.11,7.13,9.93,114.03,2.05,0.0,28.3,-58.67,0
12.9,53.87,6.15,0.18,0.79,1.03,173.43,53.88,87.33,21.35,0.76,3.18,4.18,12.9,76.05,33.23,1.14,0.0,0.0,0.0,0
-5.6,-18.04,-8.65,0.01,0.09,0.84,562.15,14.46,114.63,128.07,0.55,1.78,3.22,14.28,68.97,27.4,0.7,9.81,30.69,178.83,0
2.75,3.71,2.96,0.59,1.7,3.85,392.42,64.26,45.23,126.44,0.23,0.32,1.35,29.64,26.04,56.36,1.94,9.86,29.0,84.44,0
-7.4,-10.13,-19.22,2.81,2.81,3.05,945.66,0.94,249.41,59.84,0.27,0.37,1.37,58.28,26.94,16.71,3.93,0.0,170.64,-1337.99,0
0.2,-0.72,2.86,0.0,0.02,1.04,5265.9,66.05,3359.86,3481.31,1.07,-3.91,-3.66,6.69,127.29,6.78,-0.8,0.0,93.92,-615.18,0
0.1,0.11,0.61,5.77,10.13,15.31,2159.16,436.65,100.35,527.47,0.05,0.05,1.05,35.11,4.7,112.44,3.42,0.0,207.64,-157.51,0
2.98,4.84,3.19,0.28,1.78,2.28,389.52,222.87,147.96,74.81,0.38,0.62,1.62,16.35,38.41,18.56,4.96,0.0,14.3,-35.39,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
0.14,0.16,0.97,0.06,5.48,5.87,2461.05,1136.87,209.63,82.79,0.1,0.11,1.11,3.32,9.91,25.5,1.82,0.0,21.49,63.08,0
0.72,0.72,,308.8,308.8,308.8,,,,,0.0,0.0,1.0,0.72,0.22,3326.67,2.97,0.0,,0.0,0
-9.45,-48.54,,0.76,0.9,0.9,,,,,0.81,4.14,5.14,-9.45,80.53,10.41,0.71,0.0,,0.0,0
-8.27,-10.11,-35.16,9.46,9.88,12.98,1548.0,31.57,74.32,233.09,0.18,0.22,1.22,26.84,18.25,16.78,2.51,0.0,149.31,1212.13,0
-3.15,-4.81,-7.8,0.43,0.85,2.57,902.6,53.1,103.98,220.58,0.25,0.38,1.53,10.18,34.55,32.58,1.19,7.48,33.05,808.03,0
0.76,10.78,3.85,0.79,0.79,0.81,1836.7,3.48,1665.11,33.88,0.93,13.14,14.14,37.93,92.93,10.69,0.32,0.0,187.57,-116.09,0
19.48,43.88,39.59,1.94,2.09,2.18,739.96,48.2,332.87,33.0,0.45,1.02,2.25,19.48,55.61,42.82,,0.0,0.0,0.0,0
-6.84,-9.44,-17.26,0.51,0.85,3.31,919.04,19.68,58.3,145.15,0.2,0.27,1.38,8.05,27.56,9.46,1.08,1.17,37.58,129.19,0
